2353
Grain_ID,Active,AspectRatios_0,AspectRatios_1,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,AxisEulerAngles_0,AxisEulerAngles_1,AxisEulerAngles_2,AxisLengths_0,AxisLengths_1,AxisLengths_2,Centroids_0,Centroids_1,Centroids_2,EquivalentDiameters,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumCells,NumNeighbors,Omega3s,ParentIds,Phases,SurfaceFields,Volumes
56,1,0.883694,0.510218,0.172388,-0.121168,-0.204306,0.95596,0.0337584,2.72133,1.02747,1.38939,1.2278,0.708894,42.7042,2.25082,13.6013,2.09017,5.45998,0.424605,0.402107,306,11,0.749188,1624,1,0,4.78125
57,1,0.531135,0.208408,0.111728,-0.208011,0.208886,0.949007,1.25379,1.2352,1.53603,3.08341,1.63771,0.642607,13.5237,43.8807,11.2896,2.86736,5.42195,0.476737,1.29455,790,10,0.617641,1653,1,0,12.3438
58,1,0.773392,0.476234,-0.247919,-0.0833372,-0.087313,0.961232,1.09849,0.931073,1.56596,1.50072,1.16065,0.714696,28.8206,22.7817,7.70635,2.11046,3.37529,0.529257,2.72673,315,8,0.749201,911,1,0,4.92188
59,1,0.712395,0.327623,-0.271232,0.312362,-0.224221,0.882376,4.56382,1.94768,0,2.44471,1.7416,0.800943,4.37235,22.7635,6.32559,2.93819,2.03699,0.853,3.74851,850,11,0.694811,1159,1,0,13.2812
60,1,0.74609,0.649307,-0.259941,0.358399,-0.213399,0.870886,3.97848,0.604326,4.13908,1.62593,1.21309,1.05573,8.26449,9.46636,1.90794,2.51802,1.95799,0.917305,3.84459,535,6,0.808506,2302,1,0,8.35938
61,1,0.514748,0.38274,-0.259354,-0.292615,0.084974,0.916456,4.78006,2.79825,1.79677,2.41273,1.24195,0.92345,40.0675,18.3168,28.3888,2.75929,4.07963,0.803454,2.38846,704,10,0.769818,2800,1,1,11
62,1,0.747525,0.727594,0.0808613,0.110209,0.225804,0.964535,3.1747,2.80443,3.14159,1.15285,0.861784,0.838806,7.53277,36.6481,24.193,1.83188,1.16777,0.27424,5.57535,206,11,0.666543,324,1,0,3.21875
63,1,0.81299,0.423634,-0.163256,-0.197854,0.324013,0.910613,3.32201,1.33821,2.91619,1.58859,1.29151,0.67298,38.6343,1.94362,23.8976,2.15849,4.36436,0.518824,2.60253,337,8,0.625538,1974,1,0,5.26562
64,1,0.888373,0.483669,-0.344532,0.169544,-0.180024,0.905618,3.07501,1.62022,3.0911,0.570207,0.506556,0.275791,14.1912,38.6324,18.2941,0.797548,2.48806,0.788226,3.40267,17,5,0.319669,437,1,0,0.265625
65,1,0.609448,0.217858,0.0607443,-0.263785,0.0144611,0.962558,0.573216,1.41544,1.60077,1.40485,0.856184,0.306058,20.1747,40.7861,11.8223,1.35301,4.95375,0.548217,1.35949,83,7,0.420769,1955,1,0,1.29688
